"ASV_ID","ASV_sha","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_671","f94f0252c1452a320627e56757482346","Bacteria","Bacillota_B","Peptococcia","DRI-13","DRI-13","Thermanaerosceptrum","Thermanaerosceptrum fracticalcis"
"ASV_672","dc39d981d3f243cebf5e88f772a5ea00","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Koribacteraceae",NA,NA
"ASV_673","655c4e26812b8a7e6fdf8d39bacae072","Bacteria","Actinomycetota","Actinomycetia","Mycobacteriales","Micromonosporaceae",NA,NA
"ASV_674","4ebfe5ab34c5fe285d098ab4f63eb959","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae",NA,NA
"ASV_675","1e34449edede5f234376a6e2dabe8537","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea",NA
"ASV_676","a140991b67f0edfbcf7d9433d958ec1f","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales",NA,NA,NA
"ASV_677","6a46c984e1889ff46fb47547754966e0","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","SbA1","JAIQEU01","JAIQEU01 sp020073665"
"ASV_678","20e3fc9ceaacf533bb48079d79ebac6f","Bacteria","Acidobacteriota","Terriglobia","Terriglobales","Acidobacteriaceae","Terracidiphilus","Terracidiphilus savannae"
"ASV_679","e063891dedb2b44dbfab642205faf8f8","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","JAJYUU01","JAJYUU01 sp021792405"
"ASV_680","b2c46b01a80f284ea506f52ced3e03ab","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Erwinia",NA
"ASV_681","ad6c04a83ab3b78ee4050da8ea0034b0","Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Sporosarcina","Sporosarcina limicola"
"ASV_682","69886113b45955701896ee94d9b87c19","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","CSP1-4","JAFMJV01","JAFMJV01 sp019637815"
"ASV_683","7ff149316e66314cd9684d673d90bfd8","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter",NA
"ASV_684","b4304b9875bbacce972515a3732e95e3","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Trebonia","Trebonia kvetii"
"ASV_685","39225ccbe22bc970333ec11bade8926a","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia",NA
"ASV_686","9d2c7e547a61784a327ee16d604583e4","Bacteria","Actinomycetota","Actinomycetia","Mycobacteriales","Jatrophihabitantaceae","Jatrophihabitans","Jatrophihabitans endophyticus"
"ASV_687","a5aef2f87cd194c0398c17929cb0e6f2","Bacteria","Bacillota","Bacilli","RF39","UBA660","RUG14121","RUG14121 sp016297695"
"ASV_688","678a04e1b684d678bdf26cbaeecaf321","Bacteria","Bacillota_C","Negativicutes","Sporomusales",NA,NA,NA
"ASV_689","bf29009d180936281abd05da411b90fa","Bacteria","Actinomycetota","Actinomycetia","Streptosporangiales","Streptosporangiaceae",NA,NA
"ASV_690","a51af6f7d3369f355257160b33da3cff","Bacteria","Actinomycetota","Actinomycetia","Propionibacteriales","Nocardioidaceae","Marmoricola","Marmoricola sp000426045"
